./bin/ARM-LFT.bin                       ['_', 'X', 'X', 'X', 'X']
./bin/ARM-RT.bin                        ['_', 'X', 'X', 'X', 'X']
./bin/BACKBCAP.bin                      ['_', 'X', 'X', 'X', 'X']
./bin/bald.bin                          ['_', 'X', 'X', 'X', 'X']
./bin/BASEBALL.bin                      ['_', 'X', 'X', 'X', 'X']
./bin/BODY.bin                          ['_', 'X', 'X', 'X', 'X']
./bin/bodyblck.bin                      ['_', 'X', 'X', 'X', 'X']
./bin/bodyblue.bin                      ['_', 'X', 'X', 'X', 'X']
./bin/bodybrwn.bin                      ['_', 'X', 'X', 'X', 'X']
./bin/bodygren.bin                      ['_', 'X', 'X', 'X', 'X']
./bin/bodyred.bin                       ['_', 'X', 'X', 'X', 'X']
./bin/bodywhte.bin                      ['_', 'X', 'X', 'X', 'X']
./bin/bodyyllw.bin                      ['_', 'X', 'X', 'X', 'X']
./bin/Bush.bin                          ['_', 'X', 'X', 'X', 'X']
./bin/bushblk.bin                       ['_', 'X', 'X', 'X', 'X']
./bin/bushred.bin                       ['_', 'X', 'X', 'X', 'X']
./bin/bushwht.bin                       ['_', 'X', 'X', 'X', 'X']
./bin/bushyel.bin                       ['_', 'X', 'X', 'X', 'X']
./bin/CAP.bin                           ['_', 'X', 'X', 'X', 'X']
./bin/CAPCH.bin                         ['_', 'X', 'X', 'X', 'X']
./bin/CAPDB.bin                         ['_', 'X', 'X', 'X', 'X']
./bin/CAPJS.bin                         ['_', 'X', 'X', 'X', 'X']
./bin/CAPMD.bin                         ['_', 'X', 'X', 'X', 'X']
./bin/CAPRC.bin                         ['_', 'X', 'X', 'X', 'X']
./bin/CATHAT.bin                        ['_', 'X', 'X', 'X', 'X']
./bin/CBOYHAT.bin                       ['_', 'X', 'X', 'X', 'X']
./bin/CHEF.bin                          ['_', 'X', 'X', 'X', 'X']
./bin/CLAW-LFT.bin                      ['_', 'X', 'X', 'X', 'X']
./bin/COPHAT.bin                        ['_', 'X', 'X', 'X', 'X']
./bin/CUPHAT.bin                        ['_', 'X', 'X', 'X', 'X']
./bin/Flower.bin                        ['_', 'X', 'X', 'X', 'X']
./bin/flwrblk.bin                       ['_', 'X', 'X', 'X', 'X']
./bin/flwrgrn.bin                       ['_', 'X', 'X', 'X', 'X']
./bin/Flwrred.bin                       ['_', 'X', 'X', 'X', 'X']
